M, Cohen, Frédéric, M9, 02:18:16
M, Peter, Christian, M9, 01:16:06
M, Tavernier, Bernard, M6, 01:33:15
M, Santoni, Alain, M1, 02:13:41
M, Declercq, Georges, M5, 02:26:38
M, Baud, David, M8, 01:01:34
M, Levesque, Guy, M5, 02:02:03
M, Duflot, Cédric, ELITE_1, 01:16:05
M, Grignon, Kevin, M6, 02:11:09
M, Taupin, Jean-Luc, M1, 02:34:47
M, Pierron, Jean-Michel, M2, 02:46:10
M, Duvivier, Fabrice, M7, 02:24:56
M, Legrand, Charles, M1, 01:18:48
M, Mathis, Joël, ELITE_1, 02:05:30
M, Mille, Maurice, M2, 02:26:51
M, Durant, Maurice, ELITE_1, 01:17:29
M, Giry, Bruno, M7, 01:29:05
M, Allart, Adrien, ELITE_1, 01:41:04
M, Perez, Alain, M8, 02:16:48
M, Bonnot, Yves, M9, 01:27:46
M, Marot, Maxime, M5, 01:57:02
M, Leblanc, Francis, M1, 01:54:05
M, Blais, Joël, M4, 02:55:54
M, Henaff, Claude, ELITE_2, 02:43:55
M, Baudin, François, M7, 01:34:31
M, Berry, Yves, M4, 02:34:57
M, Lescure, Raymond, M3, 01:06:41
M, Le, Jonathan, M4, 01:51:12
M, Pinson, Richard, M3, 01:23:24
M, Poirier, Florian, M6, 01:09:50
M, Chartier, Sébastien, M2, 01:51:21
M, Barbet, Olivier, M9, 01:02:52
M, Perret, Guy, M2, 02:28:47
M, Delplanque, François, ELITE_1, 01:00:34
M, Bourcier, Michel, M2, 02:06:09
M, Ruiz, René, M7, 02:33:06
M, Busson, Robert, ELITE_1, 01:20:23
M, Sellier, Jean-Paul, M1, 02:13:31
M, Gressier, Richard, M8, 02:49:01
M, Kohler, Albert, M7, 01:53:48
M, Fontaine, Xavier, M1, 01:09:18
M, Laborde, Thomas, M1, 01:11:48
M, Parisot, Emile, ELITE_2, 01:25:32
M, Michelet, Philippe, M7, 02:30:58
M, Hery, Dominique, ELITE_1, 01:14:56
M, Delcroix, Bruno, M1, 01:16:24
M, Goetz, Sylvain, M6, 01:51:35
M, Harel, Antoine, M3, 02:31:45
M, Fontaine, Jean-François, M8, 01:41:16
M, Gayet, Roger, M6, 02:48:10
M, Marie, Jérôme, M1, 01:53:34
M, Faivre, Gérard, M6, 01:20:27
M, Camus, Florian, M7, 01:27:13
M, Decroix, Nicolas, M2, 01:05:50
M, Denys, Olivier, M7, 01:24:38
M, Molinier, Damien, M3, 02:39:12
M, Raymond, Cyril, M5, 02:42:45
M, Bordas, Joël, M5, 01:30:23
M, Maury, Denis, M5, 01:45:36
